#! FIELDS psi file.free der_psi
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  178
#! SET periodic_psi true
   -3.141592654    5.212619012   29.592956549
   -3.106293860    6.244643458   27.978504990
   -3.070995066    7.149741523   22.801636929
   -3.035696272    7.846285189   16.487043599
   -3.000397478    8.325131045   10.676856319
   -2.965098684    8.619375092    6.057161168
   -2.929799890    8.786814910    3.884373115
   -2.894501097    8.940528472    5.515529867
   -2.859202303    9.240164732   12.238247507
   -2.823903509    9.859815743   23.161209579
   -2.788604715   10.899917827   35.506411747
   -2.753305921   12.338451421   45.162452618
   -2.718007127   14.024323273   49.205204882
   -2.682708333   15.739373558   46.844723038
   -2.647409540   17.272049304   39.064853925
   -2.612110746   18.462332099   27.870839503
   -2.576811952   19.231770253   15.778200594
   -2.541513158   19.603337115    5.813444871
   -2.506214364   19.709985240    1.163263291
   -2.470915570   19.777866183    3.835398767
   -2.435616776   20.064906037   13.238297520
   -2.400317983   20.758943257   26.212789302
   -2.365019189   21.905309612   38.022434377
   -2.329720395   23.380734174   44.306662128
   -2.294421601   24.944717307   42.974448849
   -2.259122807   26.339642261   35.135115573
   -2.223824013   27.395036522   24.407779253
   -2.188525219   28.079350863   14.813603793
   -2.153226425   28.483732001    8.670537103
   -2.117927632   28.739739860    6.369334609
   -2.082628838   28.965499008    6.631298364
   -2.047330044   29.225440701    8.166443857
   -2.012031250   29.548503720   10.067497350
   -1.976732456   29.941506032   12.170117740
   -1.941433662   30.410597438   14.288080808
   -1.906134868   30.949607578   16.053120867
   -1.870836075   31.527031294   16.244310215
   -1.835537281   32.062643648   13.520107222
   -1.800238487   32.440085132    7.165367441
   -1.764939693   32.540195908   -1.799438820
   -1.729640899   32.309080436  -11.132709386
   -1.694342105   31.784540878  -18.036218998
   -1.659043311   31.092681149  -20.334354266
   -1.623744518   30.412375186  -17.356618373
   -1.588445724   29.920692707   -9.932072680
   -1.553146930   29.739515199   -0.215090051
   -1.517848136   29.894290700    8.446912544
   -1.482549342   30.281216261   12.398587989
   -1.447250548   30.688003431    9.428465523
   -1.411951754   30.871501765    0.142870166
   -1.376652961   30.663195012  -12.099670465
   -1.341354167   30.033114199  -23.082184748
   -1.306055373   29.081661485  -30.046489082
   -1.270756579   27.966259506  -32.434237427
   -1.235457785   26.837819881  -30.956569439
   -1.200158991   25.816487329  -26.507307765
   -1.164860197   24.991530605  -19.978127768
   -1.129561404   24.414777866  -12.819313184
   -1.094262610   24.076486651   -6.751622836
   -1.058963816   23.904208142   -3.585323754
   -1.023665022   23.779163706   -4.113745411
   -0.988366228   23.570419676   -8.238443980
   -0.953067434   23.166202131  -15.002473902
   -0.917768640   22.502282582  -22.588522441
   -0.882469847   21.590184670  -28.627055122
   -0.847171053   20.525209162  -31.077321582
   -0.811872259   19.447178865  -29.396978017
   -0.776573465   18.483640996  -24.927218557
   -0.741274671   17.695326725  -19.921102765
   -0.705975877   17.066490813  -16.032249558
   -0.670677083   16.538909892  -14.241432307
   -0.635378289   16.036580259  -14.620872070
   -0.600079496   15.491083837  -16.573560148
   -0.564780702   14.865092348  -18.854698338
   -0.529481908   14.173265775  -20.136317106
   -0.494183114   13.469710747  -19.362357162
   -0.458884320   12.825568314  -16.862941567
   -0.423585526   12.289172926  -13.630850610
   -0.388286732   11.862581720  -10.737768415
   -0.352987939   11.525622648   -8.512008527
   -0.317689145   11.258528281   -6.687623453
   -0.282390351   11.055674359   -4.837748240
   -0.247091557   10.909214201   -3.744656734
   -0.211792763   10.768091183   -4.831847338
   -0.176493969   10.531854893   -9.137941738
   -0.141195175   10.101326594  -15.374130161
   -0.105896382    9.466314691  -20.078003320
   -0.070597588    8.743272875  -20.058238735
   -0.035298794    8.110296687  -15.324339247
    0.000000000    7.679037389   -9.313606156
    0.035298794    7.421561181   -5.993599334
    0.070597588    7.210201934   -6.688711269
    0.105896382    6.932512258   -9.075391838
    0.141195175    6.591708931   -9.859276204
    0.176493969    6.278655504   -7.575518893
    0.211792763    6.078094654   -3.964909181
    0.247091557    5.976853030   -2.361587163
    0.282390351    5.865624458   -4.608974186
    0.317689145    5.621055299   -9.446770342
    0.352987939    5.206301238  -13.794524536
    0.388286732    4.686331278  -15.196280283
    0.423585526    4.167561572  -14.013572979
    0.458884320    3.711562884  -11.874536624
    0.494183114    3.326223938  -10.087472958
    0.529481908    3.002142310   -8.246472929
    0.564780702    2.753727506   -5.860235654
    0.600079496    2.591993879   -3.540588659
    0.635378289    2.486152398   -3.020613453
    0.670677083    2.348391360   -5.264648931
    0.705975877    2.099882696   -8.897067626
    0.741274671    1.743261973  -10.832465363
    0.776573465    1.386755518   -8.704752688
    0.811872259    1.178851297   -2.791907523
    0.847171053    1.208602436    4.260411904
    0.882469847    1.455382491    9.043954142
    0.917768640    1.802799429    9.813634118
    0.953067434    2.108598473    6.888599119
    0.988366228    2.270691417    1.935767857
    1.023665022    2.250280218   -3.048580188
    1.058963816    2.079303606   -6.330021432
    1.094262610    1.842045570   -6.592465054
    1.129561404    1.652661280   -3.758801190
    1.164860197    1.600762037    0.733710111
    1.200158991    1.701081738    4.572813677
    1.235457785    1.898820879    5.896335306
    1.270756579    2.099920798    5.183579486
    1.306055373    2.265341749    4.223496987
    1.341354167    2.420789335    4.835668486
    1.376652961    2.629030201    7.010208833
    1.411951754    2.920822708    9.194988030
    1.447250548    3.262633444    9.746568562
    1.482549342    3.587884327    8.267223843
    1.517848136    3.843743315    6.092959540
    1.553146930    4.033589377    4.751670880
    1.588445724    4.200787825    4.776286782
