#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  178
#! SET periodic_phi true
   -3.141592654  -30.037621762  -47.667344876
   -3.106293860  -31.595197808  -40.400095726
   -3.070995066  -32.894820761  -33.482959991
   -3.035696272  -33.991078070  -29.211539569
   -3.000397478  -35.000998546  -28.537971413
   -2.965098684  -36.028599027  -29.811951961
   -2.929799890  -37.086542479  -29.663328347
   -2.894501097  -38.079837685  -26.129785849
   -2.859202303  -38.901255947  -20.320655665
   -2.823903509  -39.528778544  -15.880062125
   -2.788604715  -40.063982442  -15.173103346
   -2.753305921  -40.630178691  -17.066516659
   -2.718007127  -41.250676963  -17.579198384
   -2.682708333  -41.806306230  -13.154760547
   -2.647409540  -42.120351759   -4.296630526
   -2.612110746  -42.110302142    4.222817131
   -2.576811952  -41.887948298    6.980470136
   -2.541513158  -41.705059148    2.216206980
   -2.506214364  -41.777769472   -6.602037987
   -2.470915570  -42.137796794  -13.170394824
   -2.435616776  -42.619907243  -13.080023954
   -2.400317983  -42.985391800   -7.079937721
   -2.365019189  -43.091162715    0.952142037
   -2.329720395  -42.939407544    7.066806979
   -2.294421601  -42.619923259   10.499480796
   -2.259122807  -42.205130191   12.802985326
   -2.223824013  -41.711164375   15.065689168
   -2.188525219  -41.147027737   16.401041818
   -2.153226425  -40.583329147   14.811901887
   -2.117927632  -40.144924583    9.352043353
   -2.082628838  -39.944132571    1.796102134
   -2.047330044  -39.995975305   -4.366939620
   -2.012031250  -40.199601577   -6.640478485
   -1.976732456  -40.413926055   -5.251631134
   -1.941433662  -40.548656467   -2.597984176
   -1.906134868  -40.603471126   -0.898376011
   -1.870836075  -40.624136578   -0.488353449
   -1.835537281  -40.637912855   -0.465421488
   -1.800238487  -40.646062777   -0.146290489
   -1.764939693  -40.641510508    0.271167358
   -1.729640899  -40.631255320    0.168369806
   -1.694342105  -40.629922260   -0.295521024
   -1.659043311  -40.650302274   -1.059669538
   -1.623744518  -40.717082759   -3.174665508
