#! FIELDS cv.y file.free der_cv.y
#! SET min_cv.y -0.638109
#! SET max_cv.y 2.40289
#! SET nbins_cv.y  88
#! SET periodic_cv.y false
   -0.638109000   -0.000000000   -0.000000000
   -0.603154989   -0.000114004   -0.004664481
   -0.568200977   -0.000748646   -0.029011391
   -0.533246966   -0.005177819   -0.194014499
   -0.498292954   -0.023353266   -0.827413420
   -0.463338943   -0.080948367   -2.649421237
   -0.428384931   -0.245230793   -7.322202675
   -0.393430920   -0.667325112  -18.013702339
   -0.358476908   -1.636993405  -39.532724503
   -0.323522897   -3.625441213  -77.314337518
   -0.288568885   -7.281820946 -135.256484846
   -0.253614874  -13.303697254 -211.761103479
   -0.218660862  -22.192486283 -296.885168242
   -0.183706851  -33.953839978 -372.655104149
   -0.148752839  -47.887694667 -417.765070664
   -0.113798828  -62.598748795 -414.965645691
   -0.078844816  -76.258092982 -357.626242833
   -0.043890805  -87.047027819 -253.116821578
   -0.008936793  -93.638804775 -121.695295180
    0.026017218  -95.565366218    9.087537645
    0.060971230  -93.317481304  113.577131115
    0.095925241  -88.114135484  176.926893618
    0.130879253  -81.443394659  198.461634703
    0.165833264  -74.623630397  187.386537006
    0.200787276  -68.592888246  155.001656912
    0.235741287  -63.936598403  109.854974970
    0.270695299  -60.986312017   58.230269808
    0.305649310  -59.847243994    7.389115923
    0.340603322  -60.341300004  -33.591303212
    0.375557333  -61.970451600  -56.399599889
    0.410511345  -64.006826428  -57.174726677
    0.445465356  -65.713718965  -38.341418046
    0.480419368  -66.552626813   -9.113188548
    0.515373379  -66.368758065   17.995574284
    0.550327391  -65.444587447   31.578757042
    0.585281402  -64.397849625   24.290901461
    0.620235414  -63.997846346   -4.906359006
    0.655189425  -64.924975355  -49.997754679
    0.690143437  -67.540002491  -99.240281847
    0.725097448  -71.744601717 -138.800103072
    0.760051460  -77.006429020 -158.653907956
    0.795005471  -82.579231425 -157.228484006
    0.829959483  -87.833404515 -142.341831877
    0.864913494  -92.519480806 -126.943212626
    0.899867506  -96.826314171 -121.973118982
    0.934821517 -101.208412264 -131.074559519
    0.969775529 -106.099855065 -149.850280656
    1.004729540 -111.695842446 -170.015883950
    1.039683552 -117.913027135 -184.473421188
    1.074637563 -124.487564217 -190.313099417
    1.109591575 -131.115864257 -187.658334332
    1.144545586 -137.513952705 -177.304125597
    1.179499598 -143.416411263 -159.389876058
    1.214453609 -148.567775695 -134.632405673
    1.249407621 -152.767362339 -105.601676869
    1.284361632 -155.935963939  -76.328355484
    1.319315644 -158.137025839  -50.753411377
    1.354269655 -159.539099991  -30.755678571
    1.389223667 -160.336865427  -15.986982717
    1.424177678 -160.687022060   -4.997075953
    1.459131690 -160.684252640    4.738250117
    1.494085701 -160.311303243   16.942652567
    1.529039713 -159.392644303   36.692190906
    1.563993724 -157.589567242   67.869948219
    1.598947736 -154.500824154  109.470631984
    1.633901747 -149.869892477  154.432054372
    1.668855759 -143.751484963  192.990033866
    1.703809770 -136.496221939  219.163110360
    1.738763782 -128.521176772  235.415886623
    1.773717793 -120.011434955  251.810445415
    1.808671805 -110.758776817  279.270017473
    1.843625816 -100.279882884  321.541313644
    1.878579828  -88.161810802  371.135950016
    1.913533839  -74.417342836  411.537705574
    1.948487851  -59.673595200  425.786299850
    1.983441862  -45.039591036  404.613611222
    2.018395874  -31.748417729  350.414192535
    2.053349885  -20.760358797  275.360073751
    2.088303897  -12.521089337  195.855349331
    2.123257908   -6.931324342  125.868106936
    2.158211920   -3.502626341   72.799877264
    2.193165931   -1.608107078   37.787313391
    2.228119943   -0.667582281   17.544986431
    2.263073954   -0.247313733    7.180657523
    2.298027966   -0.080021653    2.534975469
    2.332981977   -0.022107227    0.757598214
    2.367935989   -0.003976379    0.144436469
    2.402890000   -0.000184065    0.006991532
